Category,Name,Organization,Data Format,Update Frequency,Description,API
Finance,"Balance of Payments, International Investment Position and External Debt Statistics of Hong Kong",Census and Statistics Department,XLS/XML,Quarterly,"Balance of Payments, International Investment Position and External Debt Statistics of Hong Kong",N
Finance,Annual Statistics for General Business 2012,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2012,N
Finance,Annual Statistics for Long Term Business 2016,Insurance Authority,XLS/XLSX,Annually,Annual Statistics for Long Term Business 2016,Y
Population,Population and Household Statistics Analysed by District Council District,Census and Statistics Department,XML,Annual,Population and Household Statistics Analysed by District Council District,N
Finance,Annual Statistics for Long Term Business 2011,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2011,Y
Finance,Application form for inclusion in the GPA Invitation Lists for revenue contracts,Government Property Agency,XLSX,As and when necessary,Application form for inclusion in the GPA Invitation Lists for revenue contracts,Y
Finance,Annual Statistics for General Business 2010,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2010,N
Finance,Annual Statistics for Long Term Business 2009,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2009,Y
Finance,Award of Contract of GPA,Government Property Agency,XLSX,As and when necessary,Award of Contract of GPA,N
Finance,Annual Statistics for Long Term Business 2015,Insurance Authority,XLS/XLSX,Annually,Annual Statistics for Long Term Business 2015,Y
Finance,Annual Statistics for Long Term Business 2014,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2014,Y
Finance,Gross Domestic Product (GDP) by economic activity,Census and Statistics Department,XLS/XML,Quarterly,Gross Domestic Product (GDP) by economic activity,N
Finance,Annual Statistics for Long Term Business 2008,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2008,Y
Finance,Annual Statistics for Long Term Business 2007,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2007,N
Finance,Government Properties to Let,Government Property Agency,XLSX,As and when necessary,Government Properties to Let,N
Finance,External Direct Investment Statistics of Hong Kong,Census and Statistics Department,XLS,Quarterly,External Direct Investment Statistics of Hong Kong,N
Finance,Exchange Rates,Census and Statistics Department,XLS,Monthly,Exchange Rates,N
Finance,Feature Articles on Finance,Census and Statistics Department,CSV/XLS,Ad hoc,Feature Articles on Finance,N
Finance,Annual Statistics for Long Term Business 2010,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2010,Y
Finance,Annual Statistics for Long Term Business 2013,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2013,Y
Finance,Annual Statistics for Long Term Business 2012,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2012,Y
Finance,"Earnings and Profits Tax － Demand Notes Issued, Tax Assessed and Collections",Inland Revenue Department,XLS,Every 1 year,"Earnings and Profits Tax － Demand Notes Issued, Tax Assessed and Collections",N
Finance,Environmental Reports,Government Property Agency,XLSX,As and when necessary,Environmental Reports,Y
Finance,Data related to Accounts of the Government (Cash-based),Treasury,CSV,Annually,Data related to Accounts of the Government (Cash-based),N
Finance,Data related to Accrual-based Consolidated Financial Statements of the Government,Treasury,CSV,Annually,Data related to Accrual-based Consolidated Financial Statements of the Government,N
Finance,Earnings and Profits Tax － Tax Assessed and Collections,Inland Revenue Department,XLS,Every 1 year,Tax Assessed and Collections for the year ended 31 March 2015,N
Finance,Effective Exchange Rate Indices for Hong Kong Dollar,Census and Statistics Department,XLS,Monthly,Effective Exchange Rate Indices for Hong Kong Dollar,N
Finance,Government Revenue and Expenditure,Census and Statistics Department,XLS,Quarterly/ Annual,Government Revenue and Expenditure,N
Finance,Data related to Estimates of the Government,Financial Services and the Treasury Bureau,CSV/ZIP,Annually,Data related to Estimates of the Government,N
Finance,Gross Domestic Product,Census and Statistics Department,XLS/XML,Quarterly,Gross Domestic Product,N
Finance,Customs Statistics on Revenue Collection,Customs and Excise Department,XLSX,Annually,Statistics on revenue collection by the Customs and Excise Department,N
Finance,Controlling Officer's Environmental Report 2016,Official Receiver's Office,XML,Once a year,Controlling Officer's Environmental Report 2016,N
Finance,Business Registration Statistics,Inland Revenue Department,XLS,Every 1 year,Business Registration Statistics,N
Finance,Business Registration Fee and Levy Table,Inland Revenue Department,XLS,As and when necessary,Business Registration Fee and Levy Table,N
Finance,Quotation Notices,Government Property Agency,XLSX,As and when necessary,Quotation Notices,N
Finance,Statistical Data on Charges/Memorandum of Discharge Delivered for Registration,Companies Registry,XLS,Monthly,Statistical Data on Charges/Memorandum of Discharge Delivered for Registration,Y
Finance,Replies to Questions raised by Members of Finance Committee (GPA),Government Property Agency,XLSX,As and when necessary,Replies to Questions raised by Members of Finance Committee (GPA),Y
Finance,Stamp Duty Collections and Stamp Office Activities,Inland Revenue Department,XLS,Every 1 year,Stamp Duty Collections and Stamp Office Activities,N
Finance,Quarterly Release of Provisional Statistics for Long Term Business 2017,Insurance Authority,XLS,Quarterly,Quarterly Release of Provisional Statistics for Long Term Business 2017,N
Finance,Quarterly Release of Provisional Statistics for General Business 2017,Insurance Authority,XLS/XLSX,Quarterly,Quarterly Release of Provisional Statistics for General Business 2017,N
Finance,Quarterly Release of Provisional Statistics for Long Term Business 2015,Insurance Authority,XLS,Quarterly,Quarterly Release of Provisional Statistics for Long Term Business 2015,N
Finance,Quarterly Release of Provisional Statistics for General Business 2016,Insurance Authority,XLS/XLSX,Quarterly,Quarterly Release of Provisional Statistics for General Business 2016,N
Finance,Quarterly Release of Provisional Statistics for General Business 2015,Insurance Authority,XLS/XLSX,Quarterly,Quarterly Release of Provisional Statistics for General Business 2015,N
Finance,Corporations － Profits Tax Contributions from Various Business Sectors,Inland Revenue Department,XLS,Every 1 year,Corporations － Profits Tax Contributions from Various Business Sectors,N
Finance,Quarterly Release of Provisional Statistics for Long Term Business 2016,Insurance Authority,XLS,Quarterly,Quarterly Release of Provisional Statistics for Long Term Business 2016,N
Finance,Betting Duty Collections,Inland Revenue Department,XLS,Every 1 year,Betting Duty Collections,N
Finance,"Statistics on Currency, Money Supply and Interest Rates",Census and Statistics Department,XLS,Monthly,"Statistics on Currency, Money Supply and Interest Rates",N
Finance,Property Statistics,Inland Revenue Department,XLS,Every 1 year,Property Statistics,N
Finance,Unincorporated Businesses － Profits Tax Contributions from Various Business Sectors,Inland Revenue Department,XLS,Every 1 year,"Unincorporated Businesses － Profits Tax Contributions from Various Business Sectors
Corporations － Profits Tax Contributions from Various Business Sectors",N
Finance,"Gross National Income (GNI), real Gross National Income (RGNI) , per capita GNI, per capita RGNI and External primary income flows (EPIF)",Census and Statistics Department,XLS/XML,Quarterly,"Gross National Income (GNI), real Gross National Income (RGNI) , per capita GNI, per capita RGNI and External primary income flows (EPIF)",N
Finance,Annual Statistics for Long Term Business 2006,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2006,N
Finance,Tender Notices,Government Property Agency,XLSX,As and when necessary,Tender Notices,N
Finance,Surplus Government Accommodation,Government Property Agency,XLSX,As and when necessary,Surplus Government Accommodation,N
Finance,Statistical Data on Registered Non-Hong Kong Companies,Companies Registry,XLS,Monthly,Statistical Data on Registered Non-Hong Kong Companies,Y
Finance,Property Management Services Contracts,Government Property Agency,XLSX,As and when necessary,Property Management Services Contracts,N
Finance,Statistics Data on Searches on Image Records of Documents,Companies Registry,XLS,Monthly,Statistics Data on Searches on Image Records of Documents,Y
Finance,Statistics Data on Prosecution,Companies Registry,XLS,Monthly,Statistics Data on Prosecution,Y
Finance,Press Releases of GPA,Government Property Agency,XLSX,As and when necessary,Press Releases of GPA,Y
Finance,Particulars of Insurers,Insurance Authority,XLSX,As and when necessary,Particulars of Insurers,N
Finance,Statistical Data on Dissolution,Companies Registry,XLS,Monthly,Statistical Data on Dissolution,Y
Finance,Statistical Data on Liquidations,Companies Registry,XLS,Monthly,Statistical Data on Liquidations,Y
Finance,Statistical Data on Local Companies that have Remained Registered in the Companies Register,Companies Registry,XLS,Monthly,Statistical Data on Local Companies that have Remained Registered in the Companies Register,Y
Finance,Statistical Data on Local Companies Incorporated,Companies Registry,XLS,Monthly,Statistical Data on Local Companies Incorporated,Y
Finance,Statistics,Official Receiver's Office,XLS,Once a month,Statistics,Y
Finance,Statistical Data on Documents Delivered for Registration,Companies Registry,XLS,Monthly,Statistical Data on Documents Delivered for Registration,Y
Finance,Particulars of Insurance Brokers,Insurance Authority,,As and when necessary,Particulars of Insurance Brokers,N
Finance,List of third parties appointed by licensed money lenders in relation to the granting of loans,Companies Registry,XLS,Twice daily,List of third parties appointed by licensed money lenders in relation to the granting of loans,Y
Finance,List of Non-Compliance with Directions to Change Name/Replacement of Company Names by Company Registration Numbers,Companies Registry,XLS,Monthly,List of Non-Compliance with Directions to Change Name/Replacement of Company Names by Company Registration Numbers,Y
Finance,Licensing of Money Lenders,Companies Registry,XLS,Monthly,Licensing of Money Lenders,Y
Finance,List of Newly Incorporated/Registered Companies and Companies which have changed Names,Companies Registry,XLS,Weekly,List of Newly Incorporated/Registered Companies and Companies which have changed Names,N
Finance,Annual Statistics for Long Term Business 2003,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2003,N
Finance,Annual Statistics for Long Term Business 2005,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2005,N
Finance,Annual Statistics for General Business 2007,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2007,N
Finance,Annual Statistics for Long Term Business 2004,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2004,N
Finance,Annual Statistics for Long Term Business 2001,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2001,N
Finance,Annual Statistics for General Business 2016,Insurance Authority,XLSX,Annually,Annual Statistics for General Business 2016,N
Finance,Annual Statistics for Long Term Business 2002,Insurance Authority,XLS,Annually,Annual Statistics for Long Term Business 2002,N
Finance,Annual Statistics for General Business 2006,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2006,N
Finance,Annual Statistics for General Business 2004,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2004,N
Finance,Annual Statistics for General Business 2009,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2009,N
Population,2016 Population By-census – Build Your Census Tables,Census and Statistics Department,XLSX,As and when necessary,"An interactive data dissemination service facilitating data users to build their own statistical tables and charts on results of the 2016 Population By-census, the 2011 Population Census and the 2006 Population By-census anytime and anywhere over the Internet",N
Finance,Annual Statistics for General Business 2008,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2008,N
Population,Hong Kong Population,Census and Statistics Department,XLS,Half-yearly/ Annual,Hong Kong Population,N
Population,Feature Articles on Population,Census and Statistics Department,CSV/XLS,Ad hoc,Feature Articles on Population,N
Social Welfare,List of Service Units Providing Fee-waiving Subsidies under Enhanced ASCP,Social Welfare Department,CSV,As necessary,"List of Service Units Providing Fee-waiving Subsidies under Enhanced ASCP

The dataset provides information of name of agency/ centre, serving district, address and telephone number

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_ascp/
",N
Transport,Road Network,Transport Department,CSV/GML/MDB/XML/XSD,Every six months,"Road network data in Hong Kong

You will download total of 59 files containing different road network information. Please refer to the schema for more information about the content and relationship of these files.",N
Finance,Annual Statistics for General Business 2005,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2005,N
Transport,Real-time parking vacancy data in Kowloon East,Development Bureau,JSON,Realtime,"The Energizing Kowloon East Office (EKEO) is inviting carpark operators in Kowloon East to open their real-time parking vacancy data and basic carpark information such as location, parking fee, opening hour, height restriction, etc.  You can access...",Y
Transport,Real-Time Parking Vacancy Data (One-Stop Version),Office of the Government Chief Information Officer,JSON,Real-Time,The API integrates the real-time parking vacancy data and basic car park information provided by (i) Transport Department and (2)  the Energizing Kowloon East Office (EKEO). The data are open up by participating car park operators including their...,Y
Transport,Vessel arrivals and departures,Marine Department,XML,Every 15 minutes during office hours,Arrival and departure information of ocean-going vessels,N
Transport,No. of Total Flights handled,Civil Aviation Department,CSV,Monthly,No. of Total Flights handled,Y
Finance,Annual Statistics for General Business 2001,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2001,N
Finance,Annual Statistics for General Business 2003,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2003,N
Finance,Annual Statistics for General Business 2002,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2002,N
Transport,Real-time parking vacancy data,Transport Department,JSON,Real-Time,"The Transport Department is cooperating with car park operators to open up their real-time parking vacancy data and basic car park information such as location, address, height restriction, etc. You can access the data through below JSON files or...",N
Social Welfare,List of Social Service Centre Service,Social Welfare Department,CSV,As necessary,"List of Social Service Centre Service

The dataset provides information of name of agency/centre, address, telephone number, fax number and email.  

https://www.swd.gov.hk/en/index/site_pubsvc/page_offdr/sub_communityb/id_SRACP/",N
Transport,Vessel Traffic Management System Report,Marine Department,XML,Every 15 minutes during office hours,Arrival and departure information of ocean-going and non-convention vessels,N
Recreation and Culture,Roller Skating Rinks,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Roller Skating Rinks,N
Social Welfare,List of Youth Outreaching Social Work Teams,Social Welfare Department,CSV,As necessary,"List of Youth Outreaching Social Work Teams 

The dataset provides information of name of agency/centre, serving district, address, telephone numbers, fax numbers and email. ...",N
Recreation and Culture,Roller Hockey Court (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Roller Hockey Court (Free Outdoor Pitches/Courts),N
Social Welfare,Partnership Fund for the Disadvantaged,Social Welfare Department,CSV,As necessary,"Partnership Fund for the Disadvantaged

The dataset provides introduction, objectives  eligibility and website of Partnership Fund for the Disadvantaged and address, telephone number, fax number and office hours of the Secretariat of Partnership Fund...",N
Recreation and Culture,Rugby Pitches (Artificial Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Rugby Pitches (Artificial Turf Pitch),N
Recreation and Culture,Road Safety Towns,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Road Safety Towns,N
Recreation and Culture,Play Equipment for All Children,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Play Equipment for All Children,N
Recreation and Culture,New Additions of Hong Kong Public Libraries,Leisure and Cultural Services Department,RSS,Every Week,New Additions of Hong Kong Public Libraries,N
Recreation and Culture,Water Dispensers in LCSD venues,Leisure and Cultural Services Department,CSV,Yearly,"Public can refer to the list of water dispensers in the LCSD venues includes the name of the venues, location of water dispensers, type of water dispensers, number of water dispensers, opening hours of the venues and water temperature.",N
Recreation and Culture,Volleyball Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Volleyball Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Venue,Leisure and Cultural Services Department,JSON,As and when necessary,"Addresses, Phone number and Opening hour of Leisure & Cultural Services Department Venues",N
Recreation and Culture,Tennis Practice Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Tennis Practice Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Open Air Theatres,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Open Air Theatres,N
Recreation and Culture,Tennis Courts,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Tennis Courts,N
Recreation and Culture,Statistics Reports,Leisure and Cultural Services Department,CSV,Yearly,Statistics Report on LCSD public facilities and services.,N
Recreation and Culture,Outdoor Table Tennis Tables,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Outdoor Table Tennis Tables,N
Recreation and Culture,RSS Feeds from Hong Kong Public Libraries Portal,Leisure and Cultural Services Department,RSS,Every Week,RSS Feeds from Hong Kong Public Libraries Portal,N
Social Welfare,Subentions for Recurrent Expenditure by Programme 2017-18 (Provisional Amount),Social Welfare Department,CSV,Annually,"In 2017-18, provisional subventions to NGOs for financing about 2,710 agreement service units amount to $15,126.1 million.  Distribution of the provisional subventions to different service programmes. 

Information Including: Services, Allocation (By...",N
Recreation and Culture,Skateparks,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Skateparks,N
Recreation and Culture,Sports Centres,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Sports Centres,N
Recreation and Culture,Model Car Play Area,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Model Car Play Area,N
Recreation and Culture,Skateboard Ground,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Skateboard Ground,N
Recreation and Culture,Netball Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Netball Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Leisure Link Self-service Kiosk,Leisure and Cultural Services Department,XLSX,As and when necessary,Location of Leisure Link Self-service Kiosk,Y
Recreation and Culture,Hockey Grounds (Artificial Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Hockey Grounds (Artificial Turf Pitch),N
Recreation and Culture,Model Boat Pools,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Model Boat Pools,N
Recreation and Culture,Handball Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Handball Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Fitness Rooms,Leisure and Cultural Services Department,JSON,As and when necessary,Information of Fitness Rooms,N
Recreation and Culture,Dog Gardens/Pet Gardens,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Dog Gardens/Pet Gardens,N
Transport,Tramways Tram Stops,"Hong Kong Tramways, Limited",CSV,As and when necessary,The list of tram stops of Hong Kong Tramways,Y
Transport,Tramways Main Routes,"Hong Kong Tramways, Limited",CSV,As and when necessary,The list of main routes operated by Hong Kong Tramways,Y
Transport,Traffic speed map,Transport Department,XML,Every 2 minutes,"Average traffic speed of major roads in Hong Kong.

HTTP method: GET 

Request path: http://resource.data.one.gov.hk/td/speedmap.xml 

Parameters: No parameter required 

Note: 
HTTP status 301 or 302 may be returned. In this case, redirection should...",N
Recreation and Culture,Rugby Pitches (Natural Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Rugby Pitches (Natural Turf Pitch),N
Recreation and Culture,Gateball Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Gateball Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Sports Grounds,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Sports Grounds,N
Recreation and Culture,Jogging Tracks and Fitness Trails,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Jogging Tracks and Fitness Trails,N
Transport,Traffic Aids Drawings,Transport Department,GML/MDB/XML/XSD,Every six months,"Traffic Aids Drawings data in Hong Kong

You will download total of 57 files containing different traffic aids drawings information. Please refer to the schema for more information about the content and relationship of these files.",N
Transport,Speed map panels,Transport Department,CSV/PNG,Every 2 minutes,"Images of speed map panels at five locations in the New Territories indicating the latest traffic conditions.

Note: These datasets are real-time images of speed map panels located at five locations near major roads in the New Territories for...",N
Transport,Special traffic news,Transport Department,XML,As and when necessary,"The latest special traffic and transportation arrangements through the territory in times of traffic incidents.

HTTP method: GET
 
Request path: http://resource.data.one.gov.hk/td/en/specialtrafficnews.xml

Parameters: No parameter required...",N
Transport,Smart Device Locations for Elderly Using Signalised Pedestrian Crossing,Transport Department,CSV/XLSX,As and when necessary,List of Smart Device Locations for Elderly Using Signalised Pedestrian Crossing.,N
Transport,Shipping directory of Hong Kong,Marine Department,CSV,Every 15 minutes during office hours,"Provides the names, addresses, contact numbers, etc. of companies engaged in shipping and related industries in Hong Kong",N
Transport,The Code on Access to Information - Disclosure Log,Transport Department,CSV/XLSX,Every 3 months,"The disclosure log provides summary descriptions of the nature of information requested and released under the Code on Access to Information (""the Code"") by this Department. The disclosure log will be updated on a quarterly basis. If any member of the...",N
Transport,Taxi Call Stations,Transport Department,CSV/XLSX,As and when necessary,Telephone List of Taxi Call Stations.,N
Population,2016 Population By-census - Main Tables (Simplified Chinese),Census and Statistics Department,XLSX,As and when necessary,A set of statistical tables presenting the results of the 2016 Population By-census on various data topics,Y
Transport,Traffic Flow Census,Transport Department,GML/MDB/XSD/ZIP,Yearly,"Traffic Flow Census data in Hong Kong

You will download total of 10 files containing different traffic flow census information. Please refer to the schema for more information about the content and relationship of these files.",N
Transport,Seafarers’ Examination Schedule,Marine Department,XML,Every 15 minutes during office hours,Provide forthcoming schedule and seat allocation situation information of Seafarers’ Examination,N
Miscellaneous,Useful Contact Information,Government Laboratory,CSV,yearly,"Government Laboratory Useful Telephone Numbers and Email Addresses: Analytical and Advisory services Division, Forensic Science Division",Y
Social Welfare,List of Service Units Providing Fee-waiving Subsidies under ASCP,Social Welfare Department,CSV,As necessary,"List of Service Units Providing Fee-waiving Subsidies under ASCP

The dataset provides information of name of agency/ centre, serving district, address and telephone number

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_ascp/",N
Transport,Routes and fares of public transport,Transport Department,CSV/MDB,Monthly,"Route and fare information of different means of public transport

You will download total of 34 MDB and CSV files containing different public transport route and fare information. Please refer to the schema for more information about the content and...",Y
Social Welfare,List of School Social Work Organisations,Social Welfare Department,CSV,As necessary,"List of School Social Work Organisations

The dataset provides information of name of agency/centre, address, telephone number, fax number and email.  

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_schoolsoci/",N
Social Welfare,List of Probation and Community Service Orders Offices,Social Welfare Department,CSV,As necessary,"List of Probation and Community Service Orders Offices
 
The dataset provides information of name of agency/centre, address, telephone number, fax number and email.  

https://www.swd.gov.hk/en/index/site_pubsvc/page_offdr/sub_communityb/id_PO/",N
Employment and Labour,"Statistics on labour force, unemployment and underemployment",Census and Statistics Department,XLS,Monthly/ Ad hoc,"Statistics on labour force, unemployment and underemployment",N
Recreation and Culture,Cycling Tracks and Grounds,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Cycling Tracks and Grounds,N
Finance,Annual Reports,Government Property Agency,XLSX,As and when necessary,Annual Reports,Y
Transport,No. of Telecom messages relayed by the AFTN,Civil Aviation Department,CSV,Monthly,No. of Telecom messages relayed by the AFTN,Y
Recreation and Culture,Details of EventHK information,Office of the Government Chief Information Officer,ICS,As and when necessary,Details of events from various bureaux/departments and organisations disseminated through the one-stop platform of EventHK.,Y
Population,2016 Population By-census - Main Tables (Traditional Chinese),Census and Statistics Department,XLSX,As and when necessary,A set of statistical tables presenting the results of the 2016 Population By-census on various data topics,Y
